Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad
La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego
La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca
La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento
La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado
La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego
La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca
La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito
La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento
La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado
La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego
La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca
La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento
La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado
La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego
La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca
La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito
La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento
La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado
La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego
La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca
La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento
La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado
La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal
Libertad personal,Secuestro,Secuestro,Secuestro extorsivo
Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén
Libertad personal,Secuestro,Secuestro,Secuestro para causar daño
Libertad personal,Secuestro,Secuestro,Secuestro exprés
Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros
Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores
Libertad personal,Rapto,Rapto,Rapto
Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal
El patrimonio,Robo,Robo a casa habitación,Con violencia
El patrimonio,Robo,Robo a casa habitación,Sin violencia
El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia
El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia
El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia
El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia
El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia
El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia
El patrimonio,Robo,Robo de autopartes,Con violencia
El patrimonio,Robo,Robo de autopartes,Sin violencia
El patrimonio,Robo,Robo a transportista,Con violencia
El patrimonio,Robo,Robo a transportista,Sin violencia
El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia
El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia
El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia
El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia
El patrimonio,Robo,Robo en transporte público individual,Con violencia
El patrimonio,Robo,Robo en transporte público individual,Sin violencia
El patrimonio,Robo,Robo en transporte público colectivo,Con violencia
El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia
El patrimonio,Robo,Robo en transporte individual,Con violencia
El patrimonio,Robo,Robo en transporte individual,Sin violencia
El patrimonio,Robo,Robo a institución bancaria,Con violencia
El patrimonio,Robo,Robo a institución bancaria,Sin violencia
El patrimonio,Robo,Robo a negocio,Con violencia
El patrimonio,Robo,Robo a negocio,Sin violencia
El patrimonio,Robo,Robo de ganado,Con violencia
El patrimonio,Robo,Robo de ganado,Sin violencia
El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia
El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia
El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia
El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia
El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia"
El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia"
El patrimonio,Robo,Otros robos,Con violencia
El patrimonio,Robo,Otros robos,Sin violencia
El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad
El patrimonio,Despojo,Despojo,Despojo
La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores
La sociedad,Trata de personas,Trata de personas,Trata de personas
La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad
Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo
Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada
